Late_Delivery_Risk,Sales,Order_Item_Quantity,Order_Profit_Per_Order,Days_Scheduled,Category_Name,Customer_Segment,Shipping_Type,Customer_Country,Order_Country,Month_Name,Day_of_Week
0,399.96,4,117.17,4,Cardio Equipment,Corporate,PAYMENT,Puerto Rico,Brasil,January,Thursday
0,249.90,5,62.54,4,Indoor/Outdoor Games,Corporate,PAYMENT,Puerto Rico,Brasil,January,Thursday
0,299.98,1,86.18,4,Camping & Hiking,Home Office,CASH,Puerto Rico,Nicaragua,January,Thursday
0,100.00,4,23.49,4,Hockey,Home Office,CASH,Puerto Rico,Nicaragua,January,Thursday
0,149.94,3,47.90,4,Indoor/Outdoor Games,Home Office,CASH,Puerto Rico,Nicaragua,January,Thursday
0,499.95,5,146.99,4,Cardio Equipment,Home Office,CASH,Puerto Rico,Nicaragua,January,Thursday
0,250.00,5,102.30,4,Women's Apparel,Home Office,CASH,Puerto Rico,Nicaragua,January,Thursday
0,127.96,4,47.09,4,Electronics,Consumer,PAYMENT,EE. UU.,Nicaragua,January,Thursday
1,399.98,1,85.28,4,Fishing,Consumer,TRANSFER,Puerto Rico,Nicaragua,January,Thursday
1,99.96,2,-10.62,4,Indoor/Outdoor Games,Consumer,TRANSFER,Puerto Rico,Nicaragua,January,Thursday
1,50.00,1,-40.00,4,Women's Apparel,Consumer,TRANSFER,Puerto Rico,Nicaragua,January,Thursday
1,50.00,1,-61.88,4,Women's Apparel,Consumer,DEBIT,EE. UU.,Brasil,January,Thursday
1,199.99,1,-254.19,4,Water Sports,Consumer,DEBIT,EE. UU.,Brasil,January,Thursday
1,95.97,3,-21.24,4,Electronics,Consumer,DEBIT,EE. UU.,Brasil,January,Thursday
1,179.97,3,-72.56,4,Cleats,Consumer,DEBIT,EE. UU.,Brasil,January,Thursday
1,399.98,1,-121.84,4,Fishing,Consumer,DEBIT,EE. UU.,Brasil,January,Thursday
0,119.98,2,41.84,4,Cleats,Consumer,PAYMENT,Puerto Rico,Brasil,January,Thursday
0,299.95,5,24.00,4,Cleats,Consumer,PAYMENT,Puerto Rico,Brasil,January,Thursday
0,79.96,4,2.40,4,Golf Balls,Corporate,DEBIT,EE. UU.,Panamß,January,Thursday
0,99.96,2,13.04,4,Indoor/Outdoor Games,Corporate,DEBIT,EE. UU.,Panamß,January,Thursday
0,74.97,3,-0.73,4,Lacrosse,Corporate,DEBIT,EE. UU.,Panamß,January,Thursday
0,199.99,1,68.06,4,Water Sports,Corporate,DEBIT,EE. UU.,Panamß,January,Thursday
0,239.96,4,93.82,4,Cleats,Corporate,DEBIT,EE. UU.,Panamß,January,Thursday
0,199.99,1,58.80,4,Water Sports,Corporate,CASH,EE. UU.,Panamß,January,Thursday
0,119.98,2,41.16,4,Cleats,Corporate,CASH,EE. UU.,Panamß,January,Thursday
0,129.99,1,52.02,4,Men's Footwear,Corporate,CASH,EE. UU.,Panamß,January,Thursday
1,399.98,1,-587.97,4,Fishing,Corporate,PAYMENT,EE. UU.,Panamß,January,Thursday
1,299.98,1,91.34,4,Camping & Hiking,Corporate,PAYMENT,EE. UU.,Panamß,January,Thursday
1,250.00,5,68.51,4,Women's Apparel,Consumer,TRANSFER,EE. UU.,Panamß,January,Thursday
1,199.92,4,39.49,4,Indoor/Outdoor Games,Consumer,TRANSFER,EE. UU.,Panamß,January,Thursday
1,129.99,1,53.76,4,Men's Footwear,Consumer,TRANSFER,EE. UU.,Panamß,January,Thursday
1,299.95,5,120.52,4,Cleats,Consumer,TRANSFER,EE. UU.,Panamß,January,Thursday
1,74.97,3,3.60,1,Accessories,Consumer,TRANSFER,EE. UU.,MTxico,January,Thursday
1,127.96,4,26.23,1,Electronics,Consumer,TRANSFER,EE. UU.,MTxico,January,Thursday
1,69.98,2,6.72,1,Baseball & Softball,Consumer,TRANSFER,EE. UU.,MTxico,January,Thursday
1,100.00,2,17.60,1,Women's Apparel,Consumer,TRANSFER,EE. UU.,MTxico,January,Thursday
1,299.98,1,98.99,2,Camping & Hiking,Home Office,PAYMENT,EE. UU.,Chile,January,Thursday
1,129.99,1,7.02,2,Men's Footwear,Consumer,CASH,EE. UU.,Panamß,January,Thursday
1,50.00,1,19.20,2,Women's Apparel,Consumer,CASH,EE. UU.,Panamß,January,Thursday
1,250.00,5,-182.16,2,Women's Apparel,Consumer,CASH,EE. UU.,Panamß,January,Thursday
1,199.99,1,-12.07,2,Water Sports,Consumer,CASH,EE. UU.,Panamß,January,Thursday
1,199.99,1,-127.54,2,Water Sports,Consumer,CASH,EE. UU.,Panamß,January,Thursday
1,399.98,1,0.00,2,Fishing,Home Office,CASH,EE. UU.,MTxico,January,Thursday
1,150.00,3,34.86,2,Women's Apparel,Consumer,PAYMENT,Puerto Rico,MTxico,January,Thursday
1,199.99,1,55.09,2,Water Sports,Consumer,PAYMENT,Puerto Rico,MTxico,January,Thursday
1,399.98,1,113.09,2,Fishing,Consumer,PAYMENT,Puerto Rico,MTxico,January,Thursday
0,399.96,4,132.99,4,Cardio Equipment,Corporate,DEBIT,EE. UU.,Honduras,January,Thursday
0,299.98,1,121.49,4,Camping & Hiking,Corporate,DEBIT,EE. UU.,Honduras,January,Thursday
0,299.98,1,68.25,4,Camping & Hiking,Corporate,DEBIT,EE. UU.,Honduras,January,Thursday
0,99.99,1,28.00,4,Cardio Equipment,Corporate,DEBIT,EE. UU.,Honduras,January,Thursday
0,59.99,1,1.48,4,Cleats,Corporate,DEBIT,EE. UU.,Honduras,January,Thursday
1,199.99,1,52.20,4,Water Sports,Home Office,TRANSFER,EE. UU.,Honduras,January,Thursday
1,249.90,5,106.91,4,Indoor/Outdoor Games,Home Office,TRANSFER,EE. UU.,Honduras,January,Thursday
1,129.99,1,57.96,4,Men's Footwear,Home Office,TRANSFER,EE. UU.,Honduras,January,Thursday
1,129.99,1,25.39,4,Men's Footwear,Home Office,TRANSFER,EE. UU.,Honduras,January,Thursday
1,399.98,1,-55.26,4,Fishing,Home Office,TRANSFER,EE. UU.,Honduras,January,Thursday
1,100.00,2,19.80,4,Women's Apparel,Consumer,PAYMENT,EE. UU.,Honduras,January,Thursday
0,499.95,5,179.67,4,Cardio Equipment,Consumer,PAYMENT,Puerto Rico,Honduras,January,Thursday
1,129.99,1,57.74,1,Men's Footwear,Consumer,PAYMENT,Puerto Rico,Honduras,January,Thursday
1,199.99,1,18.20,1,Water Sports,Consumer,PAYMENT,Puerto Rico,Honduras,January,Thursday
1,129.99,1,24.70,1,Men's Footwear,Consumer,PAYMENT,Puerto Rico,Honduras,January,Thursday
1,199.92,4,-277.09,1,Indoor/Outdoor Games,Consumer,PAYMENT,Puerto Rico,Honduras,January,Thursday
1,299.98,1,131.12,1,Camping & Hiking,Consumer,TRANSFER,EE. UU.,Honduras,January,Thursday
1,129.99,1,33.69,2,Men's Footwear,Consumer,DEBIT,EE. UU.,MTxico,January,Thursday
0,100.00,2,1.18,2,Women's Apparel,Consumer,TRANSFER,Puerto Rico,MTxico,January,Thursday
0,299.98,1,-3.97,2,Camping & Hiking,Consumer,TRANSFER,Puerto Rico,MTxico,January,Thursday
0,399.98,1,176.39,2,Fishing,Consumer,TRANSFER,Puerto Rico,MTxico,January,Thursday
1,59.99,1,13.94,2,Cleats,Corporate,CASH,EE. UU.,MTxico,January,Thursday
1,99.96,4,6.60,2,Accessories,Corporate,CASH,EE. UU.,MTxico,January,Thursday
1,159.96,4,43.00,2,Shop By Sport,Corporate,TRANSFER,EE. UU.,Cuba,January,Thursday
1,200.00,4,75.60,2,Women's Apparel,Corporate,TRANSFER,EE. UU.,Cuba,January,Thursday
1,199.99,1,3.72,2,Water Sports,Consumer,TRANSFER,EE. UU.,Cuba,January,Thursday
1,199.92,4,49.28,1,Indoor/Outdoor Games,Home Office,PAYMENT,EE. UU.,Rep·blica Dominicana,January,Thursday
1,127.96,4,9.35,1,Electronics,Home Office,PAYMENT,EE. UU.,Rep·blica Dominicana,January,Thursday
1,39.99,1,3.75,1,Shop By Sport,Consumer,TRANSFER,EE. UU.,MTxico,January,Thursday
1,299.95,5,93.36,1,Cleats,Consumer,TRANSFER,EE. UU.,MTxico,January,Thursday
1,399.98,1,47.32,1,Fishing,Consumer,TRANSFER,EE. UU.,MTxico,January,Thursday
1,299.98,1,-46.45,1,Camping & Hiking,Consumer,PAYMENT,Puerto Rico,MTxico,January,Thursday
1,99.99,1,-9.27,1,Cardio Equipment,Consumer,PAYMENT,Puerto Rico,MTxico,January,Thursday
1,129.99,1,60.52,1,Men's Footwear,Consumer,PAYMENT,Puerto Rico,MTxico,January,Thursday
1,399.98,1,63.24,4,Fishing,Consumer,TRANSFER,Puerto Rico,MTxico,January,Thursday
1,199.95,5,82.30,4,Shop By Sport,Corporate,DEBIT,Puerto Rico,MTxico,January,Thursday
1,159.96,4,23.27,4,Shop By Sport,Corporate,DEBIT,Puerto Rico,MTxico,January,Thursday
1,79.95,5,-13.71,4,Trade-In,Corporate,DEBIT,Puerto Rico,MTxico,January,Thursday
1,59.99,1,5.69,4,Cleats,Corporate,DEBIT,Puerto Rico,MTxico,January,Thursday
0,129.99,1,-191.09,4,Men's Footwear,Corporate,DEBIT,EE. UU.,Brasil,January,Thursday
0,99.96,2,-3.42,4,Indoor/Outdoor Games,Corporate,DEBIT,EE. UU.,Brasil,January,Thursday
0,49.98,1,11.76,4,Indoor/Outdoor Games,Consumer,TRANSFER,EE. UU.,Rep·blica Dominicana,January,Thursday
0,49.98,2,11.05,4,Accessories,Consumer,TRANSFER,EE. UU.,Rep·blica Dominicana,January,Thursday
1,299.98,1,120.95,4,Camping & Hiking,Consumer,TRANSFER,Puerto Rico,Brasil,January,Thursday
1,119.98,2,41.38,4,Cleats,Consumer,TRANSFER,Puerto Rico,Brasil,January,Thursday
1,129.99,1,43.50,4,Men's Footwear,Consumer,TRANSFER,Puerto Rico,Brasil,January,Thursday
0,129.99,1,8.19,4,Men's Footwear,Consumer,TRANSFER,EE. UU.,Colombia,January,Thursday
0,299.98,1,64.02,4,Camping & Hiking,Consumer,TRANSFER,EE. UU.,Colombia,January,Thursday
0,50.00,1,-9.76,4,Women's Apparel,Consumer,CASH,EE. UU.,MTxico,January,Thursday
0,399.98,1,94.50,4,Fishing,Consumer,CASH,EE. UU.,MTxico,January,Thursday
0,249.90,5,59.04,4,Indoor/Outdoor Games,Consumer,PAYMENT,EE. UU.,Honduras,January,Thursday
0,149.94,3,55.33,4,Indoor/Outdoor Games,Consumer,PAYMENT,EE. UU.,Honduras,January,Thursday
0,199.99,1,66.15,4,Water Sports,Consumer,DEBIT,Puerto Rico,Rep·blica Dominicana,January,Thursday
0,199.92,4,1.74,4,Indoor/Outdoor Games,Consumer,DEBIT,Puerto Rico,Rep·blica Dominicana,January,Thursday
0,299.98,1,79.37,4,Camping & Hiking,Consumer,DEBIT,Puerto Rico,Rep·blica Dominicana,January,Thursday
0,179.97,3,-102.03,4,Cleats,Consumer,CASH,EE. UU.,Rep·blica Dominicana,January,Thursday
0,119.98,2,16.13,4,Cleats,Consumer,CASH,EE. UU.,Rep·blica Dominicana,January,Thursday
0,129.99,1,26.32,4,Men's Footwear,Consumer,CASH,EE. UU.,Rep·blica Dominicana,January,Thursday
0,207.96,4,90.84,4,Electronics,Consumer,CASH,EE. UU.,Rep·blica Dominicana,January,Thursday
0,19.98,2,8.44,4,Golf Gloves,Home Office,PAYMENT,Puerto Rico,MTxico,January,Thursday
0,50.00,1,4.69,4,Women's Apparel,Home Office,PAYMENT,Puerto Rico,MTxico,January,Thursday
0,399.98,1,174.79,4,Fishing,Home Office,PAYMENT,Puerto Rico,MTxico,January,Thursday
0,199.99,1,89.30,4,Water Sports,Home Office,PAYMENT,Puerto Rico,MTxico,January,Thursday
0,129.99,1,40.56,4,Men's Footwear,Home Office,PAYMENT,Puerto Rico,MTxico,January,Thursday
1,299.98,1,96.52,4,Camping & Hiking,Consumer,PAYMENT,Puerto Rico,Panamß,January,Thursday
1,59.99,1,14.28,4,Cleats,Consumer,PAYMENT,Puerto Rico,Panamß,January,Thursday
1,59.99,1,-20.88,4,Cleats,Consumer,PAYMENT,Puerto Rico,Panamß,January,Thursday
1,199.99,1,48.00,4,Water Sports,Consumer,PAYMENT,Puerto Rico,Panamß,January,Thursday
0,119.98,2,42.25,2,Cleats,Consumer,CASH,EE. UU.,MTxico,January,Thursday
0,119.98,2,-40.33,2,Cleats,Consumer,CASH,EE. UU.,MTxico,January,Thursday
0,399.96,4,48.00,2,Cardio Equipment,Consumer,CASH,EE. UU.,MTxico,January,Thursday
0,399.98,1,28.80,4,Fishing,Corporate,CASH,Puerto Rico,Brasil,January,Thursday
0,399.98,1,106.69,4,Fishing,Corporate,CASH,Puerto Rico,Brasil,January,Thursday
0,299.98,1,86.99,4,Camping & Hiking,Corporate,CASH,Puerto Rico,Brasil,January,Thursday
0,50.00,1,14.20,4,Women's Apparel,Corporate,CASH,Puerto Rico,Brasil,January,Thursday
0,399.98,1,137.19,4,Fishing,Consumer,DEBIT,EE. UU.,Honduras,January,Thursday
0,99.96,2,30.02,4,Indoor/Outdoor Games,Consumer,DEBIT,EE. UU.,Honduras,January,Thursday
0,399.98,1,91.08,4,Fishing,Consumer,DEBIT,EE. UU.,Honduras,January,Thursday
1,150.00,3,61.74,1,Women's Apparel,Home Office,PAYMENT,EE. UU.,MTxico,January,Thursday
1,50.00,1,5.31,1,Women's Apparel,Home Office,PAYMENT,EE. UU.,MTxico,January,Thursday
1,59.99,1,-40.49,1,Cleats,Home Office,PAYMENT,EE. UU.,MTxico,January,Thursday
1,199.98,2,62.39,1,Cardio Equipment,Home Office,PAYMENT,EE. UU.,MTxico,January,Thursday
1,200.00,4,-433.50,1,Women's Apparel,Home Office,PAYMENT,EE. UU.,MTxico,January,Thursday
1,299.98,1,19.80,1,Camping & Hiking,Consumer,DEBIT,EE. UU.,MTxico,January,Thursday
0,129.99,1,0.00,4,Men's Footwear,Consumer,DEBIT,EE. UU.,Honduras,January,Thursday
0,119.98,2,43.12,4,Cleats,Consumer,DEBIT,EE. UU.,Honduras,January,Thursday
0,299.98,1,81.11,4,Camping & Hiking,Consumer,DEBIT,EE. UU.,Honduras,January,Thursday
0,129.99,1,51.79,4,Men's Footwear,Consumer,DEBIT,EE. UU.,Honduras,January,Thursday
0,150.00,3,-93.46,4,Women's Apparel,Corporate,DEBIT,Puerto Rico,Cuba,January,Thursday
0,299.98,1,66.42,4,Camping & Hiking,Consumer,TRANSFER,Puerto Rico,Cuba,January,Thursday
0,239.96,4,65.34,4,Cleats,Consumer,TRANSFER,EE. UU.,Colombia,January,Thursday
1,199.99,1,89.24,4,Water Sports,Consumer,PAYMENT,EE. UU.,Colombia,January,Friday
1,129.99,1,30.57,4,Men's Footwear,Consumer,PAYMENT,EE. UU.,Colombia,January,Friday
1,299.98,1,-39.09,4,Camping & Hiking,Consumer,PAYMENT,EE. UU.,Colombia,January,Friday
0,499.95,5,19.00,4,Cardio Equipment,Home Office,DEBIT,EE. UU.,Brasil,January,Friday
0,119.98,2,-86.99,4,Cleats,Home Office,DEBIT,EE. UU.,Brasil,January,Friday
0,39.99,1,-53.75,4,Shop By Sport,Home Office,DEBIT,EE. UU.,Brasil,January,Friday
0,79.98,2,19.80,4,Shop By Sport,Home Office,DEBIT,EE. UU.,Rep·blica Dominicana,January,Friday
0,199.99,1,60.76,4,Water Sports,Home Office,DEBIT,EE. UU.,Rep·blica Dominicana,January,Friday
0,119.97,3,54.67,4,Girls' Apparel,Home Office,DEBIT,EE. UU.,Rep·blica Dominicana,January,Friday
0,63.98,2,16.30,4,Electronics,Home Office,DEBIT,EE. UU.,Rep·blica Dominicana,January,Friday
0,249.90,5,66.47,4,Indoor/Outdoor Games,Consumer,PAYMENT,EE. UU.,MTxico,January,Friday
0,249.90,5,110.36,4,Indoor/Outdoor Games,Consumer,PAYMENT,EE. UU.,MTxico,January,Friday
0,249.90,5,-3.39,4,Indoor/Outdoor Games,Consumer,PAYMENT,EE. UU.,MTxico,January,Friday
0,129.99,1,-44.20,4,Men's Footwear,Consumer,PAYMENT,EE. UU.,MTxico,January,Friday
0,399.96,4,63.24,4,Cardio Equipment,Consumer,PAYMENT,EE. UU.,MTxico,January,Friday
1,119.98,2,43.19,4,Cleats,Home Office,PAYMENT,Puerto Rico,MTxico,January,Friday
1,129.99,1,8.48,4,Men's Footwear,Consumer,PAYMENT,Puerto Rico,MTxico,January,Friday
1,50.00,1,14.36,4,Women's Apparel,Consumer,PAYMENT,Puerto Rico,MTxico,January,Friday
1,200.00,4,17.40,4,Women's Apparel,Consumer,PAYMENT,Puerto Rico,MTxico,January,Friday
1,399.98,1,45.20,4,Fishing,Consumer,PAYMENT,Puerto Rico,MTxico,January,Friday
0,99.96,2,-10.50,4,Indoor/Outdoor Games,Consumer,PAYMENT,Puerto Rico,Per·,January,Friday
0,299.95,5,70.55,4,Cleats,Consumer,PAYMENT,Puerto Rico,Per·,January,Friday
0,99.99,1,24.90,4,Cardio Equipment,Consumer,PAYMENT,Puerto Rico,Per·,January,Friday
0,129.99,1,-297.42,4,Men's Footwear,Consumer,PAYMENT,Puerto Rico,Per·,January,Friday
0,100.00,2,29.11,4,Women's Apparel,Consumer,PAYMENT,Puerto Rico,Per·,January,Friday
0,199.95,5,33.99,4,Shop By Sport,Consumer,TRANSFER,EE. UU.,Panamß,January,Friday
0,119.97,3,28.34,4,Shop By Sport,Consumer,TRANSFER,EE. UU.,Panamß,January,Friday
0,199.92,4,84.45,4,Indoor/Outdoor Games,Consumer,TRANSFER,EE. UU.,Panamß,January,Friday
0,129.99,1,14.04,4,Men's Footwear,Consumer,TRANSFER,EE. UU.,Panamß,January,Friday
0,199.99,1,-296.99,4,Water Sports,Corporate,DEBIT,EE. UU.,Panamß,January,Friday
1,399.98,1,15.00,2,Fishing,Corporate,TRANSFER,EE. UU.,MTxico,January,Friday
1,499.95,5,32.62,2,Cardio Equipment,Corporate,TRANSFER,EE. UU.,MTxico,January,Friday
1,199.95,5,-113.07,2,Shop By Sport,Corporate,TRANSFER,EE. UU.,MTxico,January,Friday
1,200.00,4,-17.60,2,Women's Apparel,Corporate,TRANSFER,EE. UU.,MTxico,January,Friday
1,199.99,1,32.60,2,Water Sports,Corporate,TRANSFER,EE. UU.,MTxico,January,Friday
0,119.97,3,-32.25,4,Shop By Sport,Consumer,CASH,Puerto Rico,MTxico,January,Friday
0,129.99,1,38.44,4,Men's Footwear,Consumer,DEBIT,EE. UU.,MTxico,January,Friday
0,149.94,3,15.42,4,Indoor/Outdoor Games,Consumer,DEBIT,EE. UU.,MTxico,January,Friday
1,399.98,1,76.80,1,Fishing,Home Office,DEBIT,Puerto Rico,MTxico,January,Friday
1,299.95,5,28.81,1,Cleats,Home Office,DEBIT,Puerto Rico,MTxico,January,Friday
1,199.92,4,58.48,2,Indoor/Outdoor Games,Home Office,DEBIT,EE. UU.,MTxico,January,Friday
1,99.96,4,11.34,2,Golf Gloves,Consumer,PAYMENT,EE. UU.,MTxico,January,Friday
1,399.98,1,19.68,4,Fishing,Consumer,TRANSFER,EE. UU.,MTxico,January,Friday
1,159.96,4,37.62,4,Shop By Sport,Consumer,TRANSFER,EE. UU.,MTxico,January,Friday
1,129.99,1,-74.95,4,Men's Footwear,Consumer,TRANSFER,EE. UU.,MTxico,January,Friday
1,49.98,1,10.35,4,Indoor/Outdoor Games,Consumer,TRANSFER,EE. UU.,MTxico,January,Friday
1,199.95,5,13.20,1,Shop By Sport,Consumer,DEBIT,Puerto Rico,MTxico,January,Friday
0,99.96,2,37.98,2,Indoor/Outdoor Games,Corporate,TRANSFER,EE. UU.,Brasil,January,Friday
0,299.98,1,40.32,2,Camping & Hiking,Corporate,TRANSFER,EE. UU.,Brasil,January,Friday
0,129.99,1,1.47,2,Men's Footwear,Corporate,TRANSFER,EE. UU.,Brasil,January,Friday
1,124.95,5,44.04,2,Accessories,Corporate,TRANSFER,EE. UU.,Brasil,January,Friday
0,129.99,1,53.10,4,Men's Footwear,Consumer,DEBIT,Puerto Rico,Nicaragua,January,Friday
0,100.00,2,25.52,4,Women's Apparel,Consumer,DEBIT,Puerto Rico,Nicaragua,January,Friday
1,499.95,5,-533.15,2,Cardio Equipment,Corporate,PAYMENT,Puerto Rico,Rep·blica Dominicana,January,Friday
1,200.00,4,-131.94,2,Women's Apparel,Corporate,PAYMENT,Puerto Rico,Rep·blica Dominicana,January,Friday
1,199.99,1,-3.75,2,Water Sports,Corporate,PAYMENT,Puerto Rico,Rep·blica Dominicana,January,Friday
1,199.99,1,-32.00,2,Water Sports,Corporate,PAYMENT,Puerto Rico,Rep·blica Dominicana,January,Friday
1,129.99,1,-83.24,2,Men's Footwear,Home Office,TRANSFER,EE. UU.,Rep·blica Dominicana,January,Friday
1,119.98,2,-13.25,2,Cleats,Home Office,TRANSFER,EE. UU.,Rep·blica Dominicana,January,Friday
1,299.97,3,47.43,2,Cardio Equipment,Home Office,TRANSFER,EE. UU.,Rep·blica Dominicana,January,Friday
0,99.99,1,30.49,2,Cardio Equipment,Consumer,CASH,EE. UU.,Guatemala,January,Friday
0,299.98,1,43.35,2,Camping & Hiking,Consumer,CASH,EE. UU.,Guatemala,January,Friday
0,199.99,1,42.64,2,Water Sports,Consumer,CASH,EE. UU.,Guatemala,January,Friday
0,299.98,1,114.83,2,Camping & Hiking,Consumer,CASH,EE. UU.,Guatemala,January,Friday
0,299.95,5,-347.86,4,Cleats,Consumer,TRANSFER,EE. UU.,MTxico,January,Friday
0,129.99,1,-92.42,4,Men's Footwear,Consumer,TRANSFER,EE. UU.,MTxico,January,Friday
0,399.98,1,-8.30,4,Fishing,Consumer,TRANSFER,EE. UU.,MTxico,January,Friday
1,129.99,1,45.86,4,Men's Footwear,Corporate,PAYMENT,EE. UU.,MTxico,January,Friday
1,299.98,1,84.47,4,Camping & Hiking,Corporate,PAYMENT,EE. UU.,MTxico,January,Friday
1,119.98,2,15.74,4,Cleats,Corporate,PAYMENT,EE. UU.,MTxico,January,Friday
1,129.99,1,60.48,4,Men's Footwear,Home Office,DEBIT,EE. UU.,MTxico,January,Friday
1,179.97,3,46.97,4,Cleats,Home Office,DEBIT,EE. UU.,MTxico,January,Friday
1,119.98,2,25.89,4,Cleats,Home Office,DEBIT,EE. UU.,MTxico,January,Friday
0,99.99,1,-150.18,4,Cardio Equipment,Home Office,TRANSFER,EE. UU.,MTxico,January,Friday
0,280.00,4,111.13,4,Girls' Apparel,Corporate,DEBIT,EE. UU.,Rep·blica Dominicana,January,Friday
0,250.00,5,-13.68,4,Women's Apparel,Corporate,DEBIT,EE. UU.,Rep·blica Dominicana,January,Friday
0,129.99,1,-26.00,4,Men's Footwear,Corporate,DEBIT,EE. UU.,Rep·blica Dominicana,January,Friday
0,79.98,2,23.99,4,Shop By Sport,Corporate,DEBIT,EE. UU.,Rep·blica Dominicana,January,Friday
0,299.98,1,132.29,4,Camping & Hiking,Corporate,DEBIT,EE. UU.,Rep·blica Dominicana,January,Friday
1,44.99,1,-12.12,4,Electronics,Home Office,DEBIT,EE. UU.,MTxico,January,Friday
1,239.96,4,73.91,4,Cleats,Home Office,DEBIT,EE. UU.,MTxico,January,Friday
1,199.99,1,62.25,4,Water Sports,Home Office,DEBIT,EE. UU.,MTxico,January,Friday
1,59.99,1,4.05,4,Cleats,Home Office,DEBIT,EE. UU.,MTxico,January,Friday
1,50.00,1,18.04,4,Women's Apparel,Home Office,DEBIT,EE. UU.,MTxico,January,Friday
0,249.90,5,117.55,4,Indoor/Outdoor Games,Corporate,TRANSFER,EE. UU.,MTxico,January,Friday
0,99.96,2,33.59,4,Indoor/Outdoor Games,Corporate,TRANSFER,EE. UU.,Guatemala,January,Friday
0,120.00,4,-26.10,4,Shop By Sport,Corporate,TRANSFER,EE. UU.,Guatemala,January,Friday
0,119.98,2,-20.16,4,Cleats,Corporate,TRANSFER,EE. UU.,Guatemala,January,Friday
0,399.98,1,67.20,4,Fishing,Corporate,TRANSFER,EE. UU.,Guatemala,January,Friday
0,239.96,4,75.59,4,Cleats,Corporate,TRANSFER,EE. UU.,Guatemala,January,Friday
0,119.97,3,41.81,4,Shop By Sport,Corporate,PAYMENT,EE. UU.,Argentina,January,Friday
0,49.98,1,4.97,4,Indoor/Outdoor Games,Corporate,PAYMENT,EE. UU.,Argentina,January,Friday
